categorie,type,prix,adresse,image_lien,prix_brut,prix_numerique,a_prix,a_image
Chaussures Enfants,Chaussures Enfants,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Chaussures Enfants,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Enfants,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfants,3 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg,3 500CFA,3500.0,True,True
Chaussures Enfants,Chaussures Enfant,18 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg,18 000CFA,18000.0,True,True
Chaussures Enfants,Chaussures Pour Enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5269411_uploaded_image1_1744009165.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfants,2 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5253810_uploaded_image1_1743097199.jpg,2 000CFA,2000.0,True,True
Chaussures Enfants,Chaussures Enfants,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Enfant,8 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181134_uploaded_image1_1739295232.jpg,8 500CFA,8500.0,True,True
Chaussures Enfants,Chaussures Enfant,7 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181139_uploaded_image1_1739295381.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Chaussures Enfant,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg,10 000CFA,10000.0,True,True
Chaussures Enfants,Baskets Nike Jordan,20 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Ballerines Enfants,12 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5141832_uploaded_image1_1737242187.jpg,12 000CFA,12000.0,True,True
Chaussures Enfants,Chaussures Enfants,2 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg,2 000CFA,2000.0,True,True
Chaussures Enfants,Baskets Enfant,3 500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg,3 500CFA,3500.0,True,True
Chaussures Enfants,Basket,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080428_uploaded_image1_1733555768.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Claquettes,8 450CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg,8 450CFA,8450.0,True,True
Chaussures Enfants,Ensemble Chaussures Et Chaussettes Pour Bebe,1 800CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg,1 800CFA,1800.0,True,True
Chaussures Enfants,Ballerines Enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5002639_uploaded_image1_1729418695.jpg,Prix sur demande,,False,True
Chaussures Enfants,Baskets Nike Air Max,6 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979173_uploaded_image1_1728164387.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Jordan Enfants,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4976138_uploaded_image1_1728002356.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Jordans Enfants,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Enfant,4 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg,4 000CFA,4000.0,True,True
Chaussures Enfants,Chaussures Enfants,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934544_uploaded_image1_1725833379.jpg,13 000CFA,13000.0,True,True
Chaussures Enfants,Baskets Nike Enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Baskets Jordan Enfants,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930596_uploaded_image1_1725607117.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfant,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928091_uploaded_image1_1725487369.jpg,17 000CFA,17000.0,True,True
Chaussures Enfants,Baskets  Jordan Enfants,16 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg,16 000CFA,16000.0,True,True
Chaussures Enfants,Baskets Jordan 6,11 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921251_uploaded_image1_1725193733.jpg,11 000CFA,11000.0,True,True
Chaussures Enfants,Baskets Nike React,9 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921241_uploaded_image1_1725193496.jpg,9 000CFA,9000.0,True,True
Chaussures Enfants,Baskets Enfant,8 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4921233_uploaded_image1_1725193317.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Enfant,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4870683_uploaded_image2_1722496365.jpeg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Enfants,3 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg,3 000CFA,3000.0,True,True
Chaussures Enfants,Chaussures Bébé Et Enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Filles,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781990_uploaded_image1_1717637500.jpg,25 000CFA,25000.0,True,True
Chaussures Enfants,Chaussures Enfants,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4779994_uploaded_image1_1717548193.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Pour Enfants,2 500CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4775765_uploaded_image1_1717362018.jpg,2 500CFA,2500.0,True,True
Chaussures Enfants,Timberland Enfants,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4763656_uploaded_image1_1716765652.jpg,7 000CFA,7000.0,True,True
Chaussures Enfants,Chaussures Bébés Air Force,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4735737_uploaded_image1_1715305215.jpg,10 000CFA,10000.0,True,True
Chaussures Enfants,Chaussures Enfants,2 500CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg,2 500CFA,2500.0,True,True
Chaussures Enfants,Chaussures Enfants,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Pour Enfant,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4656153_uploaded_image1_1711205088.jpg,Prix sur demande,,False,True
Chaussures Enfants,Pantoufles  Enfants,2 500CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4632466_uploaded_image1_1709901740.jpg,2 500CFA,2500.0,True,True
Chaussures Enfants,Pantoufle Enfants,2 500CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4626680_uploaded_image1_1709644598.jpg,2 500CFA,2500.0,True,True
Chaussures Enfants,Chaussures Enfant Ogiy,17 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg,17 000CFA,17000.0,True,True
Chaussures Enfants,Chaussures Enfants,6 500CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608262_uploaded_image1_1708692132.jpg,6 500CFA,6500.0,True,True
Chaussures Enfants,Chaussures Enfants,5 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4588141_uploaded_image1_1707596385.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Enfant,6 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Chaussures Enfant,13 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514824_uploaded_image1_1703615498.jpg,13 000CFA,13000.0,True,True
Chaussures Enfants,Chaussures Pour Enfants,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4514805_uploaded_image1_1703614843.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Enfant,6 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4476393_uploaded_image1_1701209697.jpg,6 500CFA,6500.0,True,True
Chaussures Enfants,Chaussures Enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517970_uploaded_image2_1703783616.jpeg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Pour Enfant,9 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4516156_uploaded_image1_1703690655.jpg,9 000CFA,9000.0,True,True
Chaussures Enfants,Chaussures Enfants,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464312_uploaded_image1_1700415241.jpg,3 000CFA,3000.0,True,True
Chaussures Enfants,Chaussures Enfants,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464284_uploaded_image1_1700414113.jpg,4 000CFA,4000.0,True,True
Chaussures Enfants,Chaussures Enfant,9 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4486289_uploaded_image1_1701786845.jpg,9 000CFA,9000.0,True,True
Chaussures Enfants,Chaussures Enfant,6 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4452170_uploaded_image1_1699621092.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Chaussures Enfant,3 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4404739_uploaded_image1_1696545306.jpg,3 000CFA,3000.0,True,True
Chaussures Enfants,Baskets  Jordan,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4402939_uploaded_image1_1696449724.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Enfants,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4396653_uploaded_image1_1696082279.jpg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Enfant,20 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4430647_uploaded_image1_1698289087.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Sandales Enfant,2 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4427622_uploaded_image2_1698104491.jpeg,2 500CFA,2500.0,True,True
Chaussures Enfants,Chaussures Enfant,5 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4422835_uploaded_image1_1697766757.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Enfants,8 500CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381758_uploaded_image1_1695064657.jpg,8 500CFA,8500.0,True,True
Chaussures Enfants,Chaussures Enfant,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg,13 000CFA,13000.0,True,True
Chaussures Enfants,Chaussures Enfant,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375022_uploaded_image1_1694607723.jpg,8 000CFA,8000.0,True,True
Chaussures Enfants,Chaussures Enfant,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375003_uploaded_image1_1694607226.jpg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Skateboard,11 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg,11 000CFA,11000.0,True,True
Chaussures Enfants,Chaussures Enfant,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4397886_uploaded_image1_1696179932.jpg,9 000CFA,9000.0,True,True
Chaussures Enfants,Chaussures Enfant,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4396320_uploaded_image1_1696061527.jpg,10 000CFA,10000.0,True,True
Chaussures Enfants,Chaussures Enfant,15 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4394927_uploaded_image1_1695956109.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfant,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_4392112_uploaded_image1_1695751474.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Chaussures Enfant,28 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg,28 000CFA,28000.0,True,True
Chaussures Enfants,Chaussures Enfant,20 000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4361430_uploaded_image2_1693749843.jpeg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Enfant,6 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4351183_uploaded_image1_1693054139.jpg,6 000CFA,6000.0,True,True
Chaussures Enfants,Chaussures Enfant - 7 Paires,15 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg,15 000CFA,15000.0,True,True
Chaussures Enfants,Chaussures Enfant,18 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327769_uploaded_image1_1691537125.jpg,18 000CFA,18000.0,True,True
Chaussures Enfants,Chaussures Enfant,5 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4287055_uploaded_image1_1688860044.jpg,5 000CFA,5000.0,True,True
Chaussures Enfants,Chaussures Enfant,Prix sur demande,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173847_uploaded_image1_1681305963.jpg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Enfants,Prix sur demande,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4173844_uploaded_image1_1681305896.jpg,Prix sur demande,,False,True
Chaussures Enfants,Baskets Enfant  Jordan,20 000CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4201412_uploaded_image1_1683164968.jpg,20 000CFA,20000.0,True,True
Chaussures Enfants,Chaussures Bébé,2 000CFA,"Hlm, Dakar, Sénégal",https://images.coinafrique.com/thumb_4187241_uploaded_image1_1682255769.jpg,2 000CFA,2000.0,True,True
Chaussures Enfants,Chaussures Bébé,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4187188_uploaded_image1_1682250705.jpg,Prix sur demande,,False,True
Chaussures Enfants,Ballerines  Enfant,7 500CFA,"Sicap Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175703_uploaded_image1_1681413005.jpg,7 500CFA,7500.0,True,True
Chaussures Enfants,Chaussures  Enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4140244_uploaded_image1_1679226845.jpg,Prix sur demande,,False,True
Chaussures Enfants,Chaussures Enfants Friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4140242_uploaded_image1_1679226795.jpg,Prix sur demande,,False,True
Chaussures Enfants,Crampons Pour Enfant,12 000CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4101596_uploaded_image1_1676845748.jpg,12 000CFA,12000.0,True,True
Chaussures Enfants,Chaussures Enfant,2 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139946_uploaded_image1_1679215303.jpg,2 000CFA,2000.0,True,True
Chaussures Enfants,Chaussures  Enfant,2 000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139933_uploaded_image1_1679181631.jpg,2 000CFA,2000.0,True,True
